Date,Open,High,Low,Close,Volume,Return
11/2/2020,3296.2,3330.14,3279.74,3310.24,2525535542,0.012318193
11/3/2020,3336.25,3389.49,3336.25,3369.16,2329577555,0.017799314
11/4/2020,3406.46,3486.25,3405.17,3443.44,2901095649,0.022047038
11/5/2020,3485.74,3529.05,3485.74,3510.45,2559015385,0.019460191
11/6/2020,3508.34,3521.58,3484.34,3509.44,2167007972,-0.000287712
11/9/2020,3583.04,3645.99,3547.48,3550.5,5061429532,0.011699872
11/10/2020,3543.26,3557.22,3511.91,3545.53,3455507092,-0.001399803
11/11/2020,3563.22,3581.16,3557,3572.66,2515389885,0.007651888
11/12/2020,3562.67,3569.02,3518.58,3537.01,2414732971,-0.009978559
11/13/2020,3552.57,3593.66,3552.57,3585.15,2276724987,0.013610366
11/16/2020,3600.16,3628.51,3600.16,3626.91,2864430679,0.011648048
11/17/2020,3610.31,3623.11,3588.68,3609.53,2343226894,-0.004791958
11/18/2020,3612.09,3619.09,3567.33,3567.79,2667939337,-0.011563832
11/19/2020,3559.41,3585.22,3543.84,3581.87,2246332374,0.003946421
11/20/2020,3579.31,3581.23,3556.85,3557.54,2212968548,-0.006792541
11/23/2020,3566.82,3589.81,3552.77,3577.59,2493130026,0.005635917
11/24/2020,3594.52,3642.31,3594.52,3635.41,3170708990,0.016161718
11/25/2020,3635.5,3635.5,3617.76,3629.65,2305668031,-0.001584416
11/27/2020,3638.55,3644.31,3629.33,3638.35,1229199673,0.002396925
11/30/2020,3634.18,3634.18,3594.39,3621.63,3644157125,-0.00459549
12/1/2020,3645.87,3678.45,3645.87,3662.45,2637657489,0.011271168
12/2/2020,3653.78,3670.96,3644.84,3669.01,2382771239,0.001791151
12/3/2020,3668.28,3682.73,3657.17,3666.72,2642754327,-0.000624147
12/4/2020,3670.94,3699.2,3670.94,3699.12,2591912420,0.008836235
12/7/2020,3694.73,3697.41,3678.88,3691.96,2340001316,-0.001935595
12/8/2020,3683.05,3708.45,3678.83,3702.25,2264899108,0.002787137
12/9/2020,3705.98,3712.39,3660.54,3672.82,2756415535,-0.00794922
12/10/2020,3659.13,3678.49,3645.18,3668.1,2412666569,-0.001285116
12/11/2020,3656.08,3665.91,3633.4,3663.46,2308878899,-0.00126496
12/14/2020,3675.27,3697.61,3645.84,3647.49,2541186619,-0.004359267
12/15/2020,3666.41,3695.29,3659.62,3694.62,2529938661,0.012921214
12/16/2020,3696.25,3711.27,3688.57,3701.17,2267390776,0.001772848
12/17/2020,3713.65,3725.12,3710.87,3722.48,2192253641,0.005757639
12/18/2020,3722.39,3726.7,3685.84,3709.41,4246742281,-0.0035111
12/21/2020,3684.28,3702.9,3636.48,3694.92,2605975306,-0.003906282
12/22/2020,3698.08,3698.26,3676.16,3687.26,2208070093,-0.002073117
12/23/2020,3693.42,3711.24,3689.28,3690.01,1845296650,0.000745811
12/24/2020,3694.03,3703.82,3689.32,3703.06,818784928,0.003536576
12/28/2020,3723.03,3740.51,3723.03,3735.36,1662609796,0.008722516
12/29/2020,3750.01,3756.12,3723.31,3727.04,1638287436,-0.002227362
12/30/2020,3736.19,3744.63,3730.21,3732.04,1559327835,0.001341547
12/31/2020,3733.27,3760.2,3726.88,3756.07,1658919486,0.006438838
1/4/2021,3764.61,3769.99,3662.71,3700.65,2728583078,-0.014754784
1/5/2021,3698.02,3737.83,3695.07,3726.86,2384682941,0.00708254
1/6/2021,3712.2,3783.04,3705.34,3748.14,3191178708,0.005709901
1/7/2021,3764.71,3811.55,3764.71,3803.79,2585186415,0.014847364
1/8/2021,3815.05,3826.69,3783.6,3824.68,2374809302,0.005491891
1/11/2021,3803.14,3817.86,3789.02,3799.61,2335918128,-0.006554797
1/12/2021,3801.62,3810.78,3776.51,3801.19,2632132471,0.000415832
1/13/2021,3802.23,3820.96,3791.5,3809.84,2344888465,0.002275603
1/14/2021,3814.98,3823.6,3792.86,3795.54,2708930219,-0.003753438
1/15/2021,3788.73,3788.73,3749.62,3768.25,2741656357,-0.007190018
1/19/2021,3781.88,3804.53,3780.37,3798.91,2485142099,0.008136403
1/20/2021,3816.22,3859.75,3816.22,3851.85,2350471631,0.013935576
1/21/2021,3857.46,3861.45,3845.05,3853.07,2591055660,0.000316731
1/22/2021,3844.24,3852.31,3830.41,3841.47,2290691535,-0.003010586
1/25/2021,3851.68,3859.23,3797.16,3855.36,2796458161,0.003615803
1/26/2021,3862.96,3870.9,3847.78,3849.62,2562368503,-0.001488836
1/27/2021,3836.83,3836.83,3732.48,3750.77,3808384652,-0.025677859
1/28/2021,3755.75,3830.5,3755.75,3787.38,3261772860,0.009760662
1/29/2021,3778.05,3778.05,3694.12,3714.24,3315454292,-0.019311503
2/1/2021,3731.17,3784.32,3725.62,3773.86,2457573861,0.016051736
2/2/2021,3791.84,3843.09,3791.84,3826.31,2415604684,0.013898237
2/3/2021,3840.27,3847.51,3816.68,3830.17,2273801634,0.001008805
2/4/2021,3836.66,3872.42,3836.66,3871.74,2367356951,0.010853304
2/5/2021,3878.3,3894.56,3874.93,3886.83,2152289897,0.003897472
2/8/2021,3892.59,3915.77,3892.59,3915.59,2161333144,0.007399346
2/9/2021,3910.49,3918.35,3902.64,3911.23,2067393950,-0.001113498
2/10/2021,3920.78,3931.5,3884.94,3909.88,2291313102,-0.00034516
2/11/2021,3916.4,3925.99,3890.39,3916.38,2126812632,0.001662455
2/12/2021,3911.65,3937.23,3905.78,3934.83,1829607166,0.004710983
2/16/2021,3939.61,3950.43,3923.85,3932.59,2305147298,-0.000569275
2/17/2021,3918.5,3933.61,3900.43,3931.33,2161952392,-0.0003204
2/18/2021,3915.86,3921.98,3885.03,3913.97,2025989354,-0.004415808
2/19/2021,3921.16,3930.41,3903.07,3906.71,2315685076,-0.001854894
2/22/2021,3885.55,3902.92,3874.71,3876.5,2752794505,-0.007732849
2/23/2021,3857.07,3895.98,3805.59,3881.37,2947617135,0.001256288
2/24/2021,3873.71,3928.65,3859.6,3925.43,2788164696,0.011351662
2/25/2021,3915.8,3925.02,3814.04,3829.34,2924371959,-0.024478847
2/26/2021,3839.66,3861.08,3789.54,3811.15,3129018166,-0.004750166
3/1/2021,3842.51,3914.5,3842.51,3901.82,2406893663,0.023790719
3/2/2021,3903.64,3906.41,3868.57,3870.29,2296374171,-0.008080844
3/3/2021,3863.99,3874.47,3818.86,3819.72,2718938203,-0.013066204
3/4/2021,3818.53,3843.67,3723.34,3768.47,3471696122,-0.013417214
3/5/2021,3793.58,3851.69,3730.19,3841.94,3320705802,0.019495976
3/8/2021,3844.39,3881.06,3819.25,3821.35,2998653462,-0.005359272
3/9/2021,3851.93,3903.76,3851.93,3875.44,2786916293,0.014154684
3/10/2021,3891.99,3917.35,3885.73,3898.81,2661081667,0.006030283
3/11/2021,3915.54,3960.27,3915.54,3939.34,2570250267,0.01039548
3/12/2021,3924.52,3944.99,3915.21,3943.34,2277434098,0.001015399
3/15/2021,3942.96,3970.08,3923.54,3968.94,2393441121,0.006491959
3/16/2021,3973.59,3981.04,3953.44,3962.71,2372381008,-0.001569689
3/17/2021,3949.57,3983.87,3935.74,3974.12,2458783556,0.002879343
3/18/2021,3953.5,3969.62,3910.86,3915.46,2686354391,-0.0147605
3/19/2021,3913.14,3930.12,3886.75,3913.1,4647053019,-0.000602739
3/22/2021,3916.48,3955.31,3914.16,3940.59,2362949344,0.007025121
3/23/2021,3937.6,3949.13,3901.57,3910.52,2494379928,-0.007630837
3/24/2021,3919.93,3942.08,3889.07,3889.14,2414378604,-0.005467304
3/25/2021,3879.34,3919.54,3853.5,3909.52,2385059895,0.005240233
3/26/2021,3917.12,3978.19,3917.12,3974.54,2655374920,0.016631198
3/29/2021,3969.31,3981.83,3943.25,3971.09,2418405500,-0.000868025
3/30/2021,3963.34,3968.01,3944.35,3958.55,2134267391,-0.003157823
3/31/2021,3967.25,3994.41,3966.98,3972.89,2420427567,0.003622539
4/1/2021,3992.78,4020.63,3992.78,4019.87,2178187603,0.011825145
4/5/2021,4034.44,4083.42,4034.44,4077.91,2241318486,0.014438278
